Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Agent ubezpieczeniowy"; "Dąbrowa Tarnowska, małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-21"; 
"Agent ubezpieczeniowy"; "Węgrów, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-23"; 
"AGENT UBEZPIECZENIOWY - PRACOWNIK BIUROWY"; "Stargard, zachodniopomorskie"; "Umowa o pracę na czas nieokreślony"; "MACIEJ SZYPULSKI"; "2025-07-18"; 
"Agent ubezpieczeniowy wyłączny"; "Zduńska Wola, łódzkie"; "Umowa agencyjna"; "Powszechny Zakład Ubezpieczeń Spółka Akcyjna"; "2025-02-25"; 
"Agronom"; "Tomaszów Lubelski, lubelskie"; "Umowa o pracę na czas nieokreślony"; "SVZ TOMASZÓW SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-18"; 
"Akustyk"; "Szczurowa, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-11"; 
"Alpinista przemysłowy"; "Kraków, małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Projekt - drewno Sławomir Biernacki"; "2025-07-09"; 
"Analityk (24/ZPK/2025)"; "Katowice, śląskie"; "Umowa o pracę na okres próbny"; "GÓRNOŚLĄSKIE PRZEDSIĘBIORSTWO WODOCIĄGÓW SPÓŁKA AKCYJNA"; "2025-07-24"; 
"Analityk danych"; "Ruda Śląska, śląskie"; "Umowa o pracę na okres próbny"; "SAFEROAD SERVICES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-21"; 
"Analityk danych - data analyst"; "Koszalin, zachodniopomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "NSURE POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-08"; 
"analityk finansowy"; "Krotoszyn, wielkopolskie"; "Umowa o pracę na okres próbny"; """DINO POLSKA"" SPÓŁKA AKCYJNA"; "2025-07-03"; 
"Analityk kredytowy"; "Szczekociny, śląskie"; "Umowa o pracę na okres próbny"; "Bank Spółdzielczy w Szczekocinach"; "2025-04-01"; 
"Analityk kredytowy"; "Skalmierzyce, wielkopolskie"; "Umowa o pracę na okres próbny"; "Spółdzielczy Bank Ludowy w Skalmierzycach"; "2025-06-09"; 
"Analityk kredytowy"; "Władysławowo, pomorskie"; "Umowa o pracę na okres próbny"; "Bank Spółdzielczy w Pucku"; "2025-06-09"; 
"Analityk kryminalny (staż urzędniczy) konkurs nr 1001-9.1111.11.2025"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "Prokuratura Krajowa"; "2025-06-27"; 
"Analityk systemowo - biznesowy"; "Babięty Wielkie, warmińsko-mazurskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "BARAŃSKI DRZWI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-05-02"; 
"anglista"; "Krosno Odrzańskie, lubuskie"; "Umowa o pracę na czas określony"; "Przedszkole nr 4 w Krośnie Odrzańskim"; "2025-07-02"; 
"Animator"; "Jarosławiec, zachodniopomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PANORAMA MORSKA HARATYK LESZEK"; "2025-05-09"; 
"Animator"; "Wodzisław Śląski, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez OHP"; "2025-05-16"; 
"Animator"; "Pszczyna, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez OHP"; "2025-05-30"; 
"Animator"; "Szczurowa, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-11"; 
"Animator czasu wolnego"; "Rogowo, zachodniopomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "AMW REWITA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-05-20"; 
"Animator czasu wolnego"; "Szarlota, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Kompleks Wypoczynkowy Szarlota Sp. z o.o."; "2025-06-11"; 
"Animator czasu wolnego dla dzieci"; "Czarlina, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Ośrodek Wypoczynkowy Politechniki Gdańskiej Czarlina"; "2025-07-01"; 
"Animator dla dzieci na zajęciach edukacyjnych"; "Biskupin, kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Przedsiębiorstwo Handlowo-Usługowe"; "2025-04-01"; 
"Animator kultury"; "Walim, dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Centrum Kultury i Turystyki w Walimiu"; "2025-07-07"; 
"Animator kultury"; "Rzeszów, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-15"; 
"ANIMATOR KULTURY"; "Łebcz, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "CENTRUM KULTURY W GMINIE PUCK"; "2025-07-04"; 
"ANIMATOR KULTURY"; "Strzelce Opolskie, opolskie"; "Umowa o pracę na czas określony"; "POWIATOWE CENTRUM KULTURY STRZELCE OPOLSKIE"; "2025-07-17"; 
"Animator rekreacji i organizacji czasu wolnego"; "Tomaszów Mazowiecki, łódzkie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-05-08"; 
"Animator rekreacji i organizacji czasu wolnego"; "Płońsk, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-02"; 
"Animator rekreacji i organizacji czasu wolnego"; "Różan, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-02"; 
"Animator zabaw dla dzieci - praca dorywcza"; "Sanok, podkarpackie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez OHP"; "2025-06-26"; 
"Ankieter"; "Lublin, lubelskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Radosław Meissner"; "2025-05-29"; 
"Ankieter terenowy"; "Rzeszów, podkarpackie"; "Umowa zlecenie / Umowa o świadczenie usług"; "TERMOSTARS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-06-27"; 
"Ankieter terenowy"; "Kraków, małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "TERMOSTARS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-06-30"; 
"Ankieter terenowy"; "Brzozów, podkarpackie"; "Umowa zlecenie / Umowa o świadczenie usług"; "TERMOSTARS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-01"; 
"Ankieter terenowy (nr 1700)"; "Bydgoszcz, kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "TERMOSTARS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-21"; 
"aparatowy"; "Dąbrowa, kujawsko-pomorskie"; "Umowa o pracę na czas nieokreślony"; "PHU TRANSLIS Piotr Liskowski"; "2025-06-18"; 
"APARATOWY PROCESÓW CHEMICZNYCH"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na okres próbny"; "PCC SYNTEZA SPÓŁKA AKCYJNA"; "2025-05-30"; 
"APARATOWY PROCESÓW CHEMICZNYCH"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na okres próbny"; "SILEKOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-10"; 
"APARATOWY PROCESÓW CHEMICZNYCH"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na okres próbny"; "FLUKAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-17"; 
"Aparatowy proszkowni mleka"; "Lubawa, warmińsko-mazurskie"; "Spółdzielcza umowa o pracę"; "Spółdzielnia Mleczarska ""MLEKOVITA"" Oddz. w Lubawie"; "2025-07-03"; 
"Aparatowy R87/1454-655/25"; "Nowa Wieś, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "GRANPOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-06-17"; 
"Aparatowy urządzeń mleczarskich"; "Nowy Dwór Gdański, pomorskie"; "Umowa o pracę na czas określony"; "OKRĘGOWA SPÓŁDZIELNIA MLECZARSKA"; "2025-06-13"; 
"Aparatowy w produkcji węglopochodnych"; "Bytom, śląskie"; "Umowa o pracę na okres próbny"; "KOKSOWNIA BYTOM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-05-28"; 
"aplikant"; "Pabianice, łódzkie"; "Umowa o pracę na czas określony"; "MIASTO PABIANICE- URZĄD MIEJSKI W PABIANICACH"; "2025-07-14"; 
"aplikant"; "Toruń, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "STRAŻ MIEJSKA W TORUNIU"; "2025-07-25"; 
"Aplikant"; "Częstochowa, śląskie"; "Umowa o pracę na czas określony"; "Straż Miejska w Częstochowie"; "2025-07-18"; 
"aplikant - strażnik miejski"; "Olsztyn, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "Straż Miejska"; "2025-07-24"; 
"Aplikant - strażnik miejski"; "Wrocław, dolnośląskie"; "Umowa o pracę na czas określony"; "Straż Miejska Wrocławia"; "2025-07-11"; 
"Aplikant Adwokacki / Aplikant Radcowski"; "Katowice, śląskie"; "Umowa o pracę na okres próbny"; "TORITE SPÓŁKA DORADZTWA PODATKOWEGO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-18"; 
"Aplikant ds. rejonowo - patrolowych"; "Kalisz, wielkopolskie"; "Umowa o pracę na czas określony"; "STRAŻ MIEJSKA KALISZA"; "2025-07-11"; 
"Aplikant- Strażnik miejski w Straży Miejskiej"; "Kielce, świętokrzyskie"; "Umowa o pracę na czas określony"; "STRAŻ MIEJSKA w Kielcach"; "2025-07-25"; 
"Aplikator folii detailer"; "Koszalin, zachodniopomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-08"; 
"Aplikator folii/ Detailer"; "Gdańsk, pomorskie"; "Umowa o pracę na czas nieokreślony"; "NOWAKOWSKI STUDIO - KAROL NOWAKOWSKI"; "2025-07-11"; 
"Aplikator izolacji natryskowych PUR i wdmuchiwanych granulatem"; "Ostróda, warmińsko-mazurskie"; "Umowa o pracę na czas nieokreślony"; "SALUS EXPO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-06-17"; 
"Arborysta - Pilarz - DrwaL"; "Wadowice, małopolskie"; "Umowa o pracę na okres próbny"; "AlpinProTech-Tomasz Wójcik"; "2025-02-13"; 
"Archeolog"; "Kalisz, wielkopolskie"; "Umowa o pracę na czas określony"; "MUZEUM OKRĘGOWE ZIEMI KALISKIEJ"; "2025-07-11"; 
"Architekt"; "Tarnobrzeg, podkarpackie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-07-22"; 
"Architekt krajobrazu"; "Kwidzyn, pomorskie"; "Umowa o pracę na okres próbny"; """WITAND"" FIRMA HANDLOWO-USŁUGOWA ANDRZEJ HORYD"; "2025-07-08"; 
"Architekt stron internetowych"; "Wolsztyn, wielkopolskie"; "Umowa o pracę na czas określony"; "J&F INVESTING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-01"; 
"Architekt wnętrz"; "Kraków, małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-18"; 
"ARCHITEKT WNĘTRZ"; "Sopot, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; "2025-07-24"; 
"Archives Specjalist/ Specjalista ds. archiwum"; "Wrocław, dolnośląskie"; "Umowa o pracę na okres próbny"; "GI GROUP POLAND SPÓŁKA AKCYJNA"; "2025-07-03"; 
"Archiwista"; "Kielce, świętokrzyskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-05-27"; 
"Archiwista"; "Psary, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Gmina Psary"; "2025-07-01"; 
"Archiwista"; "Bochnia, małopolskie"; "Umowa o pracę na okres próbny"; "Wioleta Pawlik ""Usługi Archiwizacyjne"""; "2025-07-03"; 
"Archiwista"; "Złotoryja, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-11"; 
"Archiwista"; "Złotoryja, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-11"; 
"Archiwista"; "Koluszki, łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-15"; 
"Archiwista"; "Wieliczka, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-22"; 
"Archiwista"; "Lipsko, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-23"; 
"Archiwista - staż"; "Zakopane, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-22"; 
"Archiwista OfPr/25/0999 (s)"; "Kamienica, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-25"; 
"archiwista z obowiązkiem odbycia stażu urzędniczego w Prokuraturze Okręgowej w Toruniu  Sygn. konkursu 3010-4.1111.5.2025"; "Toruń, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "PROKURATURA OKRĘGOWA W TORUNIU"; "2025-07-25"; 
"Archiwista zakładowy"; "Dzierżoniów, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-06-30"; 
"Archiwista/starszy archiwista (nr 1674)"; "Bydgoszcz, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "INSTYTUT PAMIĘCI NARODOWEJ - KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU ODDZIAŁ W GDAŃSKU"; "2025-07-16"; 
"aspirant pracy socjalnej"; "Szczecin, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "Dom Pomocy Społecznej im. doktora Edmunda Wojtyły"; "2025-07-04"; 
"Aspirant pracy socjalnej"; "Karczew, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "Miejsko-Gminny Ośrodek Pomocy Społecznej w Karczewie"; "2025-07-08"; 
"ASPIRANT PRACY SOCJALNEJ"; "Poznań, wielkopolskie"; "Umowa o pracę na czas określony"; "MIEJSKI OŚRODEK POMOCY RODZINIE W POZNANIU"; "2025-07-10"; 
"Associate Cad Designer  S&S"; "Wrocław, dolnośląskie"; "Umowa o pracę na okres próbny"; "ALIGN TECHNOLOGY (POLAND) SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-06-30"; 
"asystent"; "Skwierzyna, lubuskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Katarzyna Hubka- Przychodnia Weterynaryjna ""ORION"""; "2025-07-08"; 
"asystent"; "Elbląg, warmińsko-mazurskie"; "Umowa o pracę na czas nieokreślony"; "Akademia Nauk Stosowanych w Elblągu"; "2025-07-08"; 
"Asystent"; "Lublin, lubelskie"; "Umowa o pracę na czas nieokreślony"; "Biuro Architektoniczne Janusz Lewowski"; "2025-07-15"; 
"Asystent"; "Brodnica, kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "LABORATORIUM BADAWCZE - ANCHEM PIOTR BAŚKIEWICZ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-16"; 
"Asystent"; "Elbląg, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Wojewódzka Stacja Sanitarno-Epidemiologiczna"; "2025-07-17"; 
"Asystent"; "Koszalin, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Politechnika Koszalińska"; "2025-07-25"; 
"Asystent - inżynier budownictwa"; "Opole, opolskie"; "Umowa o pracę na czas określony"; "Przedsiębiorstwo Alremex R.Krynicki sp.j."; "2025-06-05"; 
"Asystent Agenta Celnego"; "Świnoujście, zachodniopomorskie"; "Umowa o pracę na czas określony"; "AGENCJA CELNA EXPO SAD"; "2025-06-25"; 
"Asystent agenta ubezpieczeniowego"; "Sosnowiec, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-11"; 
"asystent architekta"; "Wisła Wielka, śląskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2020-05-12"; 
"Asystent Architekta"; "Stare Opole, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "budovip - Emil Nogal"; "2025-07-14"; 
"Asystent architekta wnętrz"; "Kraków, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-25"; 
"Asystent badawczo-dydaktyczny"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "Akademia Muzyczna im. Stanisława Moniuszki"; "2025-07-11"; 
"Asystent biura marketingu"; "Dobrzyca, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ""Hortulus"" Iwona Bigońska"; "2025-06-09"; 
"Asystent biura marketingu"; "Dobrzyca, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ""Hortulus"" Iwona Bigońska"; "2025-07-11"; 
"Asystent biurowy"; "Szamotuły, wielkopolskie"; "Umowa o pracę na okres próbny"; """ROLF"" SPÓŁKA Z O.O."; "2025-07-17"; 
"Asystent biurowy"; "Świnoujście, zachodniopomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-21"; 
"asystent biurowy - oferta stażu dla osoby bezrobotnej zarejestrowanej w PUP Inowrocław/Wielobranżowe Przedsiębiorstwo Produkcyjno-Handlowe ""MAGMA"" Maciejczyk Henryk Suchatówka 48B, 88-140 Suchatówka (nr 1393)"; "Suchatówka, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-24"; 
"Asystent do spraw koordynacji klienta ze znajomością języka francuskiego"; "Morawica, świętokrzyskie"; "Umowa o pracę na okres próbny"; "ESKA SIERZPUTOWSKA Spółka Jawna"; "2025-05-06"; 
"asystent do spraw księgowości"; "Biała Podlaska, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-10"; 
"asystent do spraw księgowości"; "Małaszewicze Małe, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-11"; 
"Asystent do spraw księgowości"; "Warszawa, mazowieckie"; "Praktyka absolwencka"; "WW Finance Sp. z o.o."; "2023-09-29"; 
"Asystent do spraw księgowości"; "Kielce, świętokrzyskie"; "Umowa o pracę na okres próbny"; "Fundacja Fuga Mundi"; "2025-06-03"; 
"Asystent do spraw księgowości"; "Dąbie, lubelskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-06-05"; 
"Asystent do spraw księgowości"; "Gołymin-Ośrodek, mazowieckie"; "Umowa o pracę na okres próbny"; "PiB Sp. z o.o."; "2025-06-12"; 
"Asystent do spraw księgowości"; "Korczyna, podkarpackie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-06-12"; 
"Asystent do spraw księgowości"; "Augustów, podlaskie"; "Umowa o pracę na czas określony"; "Biuro Rachunkowe Orzechowscy s.c.Mariusz Orzechowski Luiza Kinga Orzechowska"; "2025-06-13"; 
"Asystent do spraw księgowości"; "Łańcut, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-06-26"; 
"Asystent do spraw księgowości"; "Lębork, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-02"; 
"Asystent do spraw księgowości"; "Ustka, pomorskie"; "Umowa o pracę na okres próbny"; "HANKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-03"; 
"Asystent do spraw księgowości"; "Augustów, podlaskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-08"; 
"Asystent do spraw księgowości"; "Zgierz, łódzkie"; "Umowa o pracę na czas określony"; "WET Biuro Rachunkowe Ewelina Krawiec"; "2025-07-08"; 
"Asystent do spraw księgowości"; "Kielce, świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "BARBARA RUTKOWSKA AGENCJA USŁUGOWA TINA BIURO RACHUNKOWE"; "2025-07-09"; 
"Asystent do spraw księgowości"; "Nowy Sącz, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-09"; 
"Asystent do spraw księgowości"; "Dąbrowa Górnicza, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-10"; 
"Asystent do spraw księgowości"; "Gdańsk, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-15"; 
"Asystent do spraw księgowości"; "Kwidzyn, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-16"; 
"Asystent do spraw księgowości"; "Deszkowice Pierwsze, lubelskie"; "Umowa o pracę na okres próbny"; "Gminna Spółdzielnia ""SCH"" Sułów z/s Deszkowice"; "2025-07-16"; 
"Asystent do spraw księgowości"; "Bytów, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-21"; 
"Asystent do spraw księgowości"; "Żywiec, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-21"; 
"Asystent do spraw księgowości"; "Ujazd, łódzkie"; "Umowa o pracę na okres próbny"; "Kancelaria Doradztwa Podatkowego s.c."; "2025-07-21"; 
"Asystent do spraw księgowości"; "Zambrów, podlaskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-23"; 
"Asystent do spraw księgowości"; "Lubin, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-24"; 
"Asystent do spraw księgowości"; "Lublin, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-24"; 
"Asystent do spraw księgowości"; "Żagań, lubuskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-25"; 
"Asystent do spraw księgowości"; "Dobrzechów, podkarpackie"; "Umowa o pracę na czas określony"; "MODERN FORMS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-25"; 
"Asystent do spraw księgowości"; "Gdynia, pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-25"; 
"Asystent do spraw księgowości"; "Piotrków Trybunalski, łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-25"; 
"Asystent do spraw księgowości"; "Bydgoszcz, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-25"; 
"Asystent do spraw księgowości - staż FP"; "Warszawa, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-14"; 
"Asystent do spraw księgowości -oferta stażu dla osoby bezrobotnej zarejestrowanej w PUP Inowrocław/FHU Przemysław Matłoka ul. Władysława Hermana 10, 88-100 Inowrocław (nr 1318)"; "Inowrocław, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-15"; 
"Asystent do spraw księgowości (Rezerwa Ministra)"; "Gdynia, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-24"; 
"Asystent do spraw księgowości/księgowa"; "Zielona Góra, lubuskie"; "Umowa o pracę na czas nieokreślony"; "Centrum Obsługi Przedsiębiorców Spółka z ograniczoną odpowiedzialnością"; "2025-06-20"; 
"Asystent do spraw księgowych- STAŻ"; "Rzeszów, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-25"; 
"Asystent do spraw spedycji - Staż"; "Racibórz, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-22"; 
"Asystent dokumentacji i informacji naukowej"; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "Instytut Botaniki im.Władysława Szafera Polskiej Akademii Nauk"; "2025-06-27"; 
"asystent doradcy podatkowego"; "Luboń, wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-21"; 
"Asystent ds. kadr i płac K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na okres próbny"; "Kancelaria Doradztwa Podatkowego ""BUK"" sp. z o.o."; "2025-07-03"; 
"Asystent ds. kontroli jakości"; "Mława, mazowieckie"; "Umowa o pracę na czas określony"; "Fine Altech Mława Sp. z o.o."; "2025-06-05"; 
"Asystent ds. księgowości"; "Kielce, świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "BIURO RACHUNKOWE ""DUET"" Doradca Podatkowy Renata Grabalska-Majewska"; "2025-05-21"; 
"Asystent ds. księgowości"; "Nowy Sącz, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-16"; 
"Asystent ds. księgowości"; "Bydgoszcz, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-24"; 
"asystent ds. planowania produkcji"; "Mława, mazowieckie"; "Umowa o pracę na czas określony"; "Fine Altech Mława Sp. z o.o."; "2025-06-06"; 
"Asystent ds. planowania produkcji"; "Końskie, świętokrzyskie"; "Umowa o pracę na okres próbny"; "FANSULD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-15"; 
"Asystent ds. Planowania Produkcji - CF Morliny"; "Morliny, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Animex Foods Sp. z o.o. Oddział w Iławie"; "2025-06-30"; 
"Asystent ds. produkcji"; "Zamość, lubelskie"; "Umowa o pracę na okres próbny"; "Zakład Produkcyjno-Handlowy ""SIATEX"" Artur Fert"; "2025-07-03"; 
"asystent ds. szkoleń"; "Tryszczyn, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-21"; 
"Asystent ds. windykacji"; "Zgorzelec, dolnośląskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO ZARZĄDU NIERUCHOMOŚCIAMI SP. Z O.O."; "2025-07-04"; 
"Asystent ds. wsparcia językowego R96/1806-814/25"; "Włocławek, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "WOJEWÓDZKI URZĄD PRACY W TORUNIU"; "2025-07-25"; 
"Asystent ds. zakupów"; "Lublin, lubelskie"; "Umowa o pracę na okres próbny"; "EZEBRA.PL Sp. z o.o."; "2025-06-03"; 
"Asystent Działu Etnologii Miasta"; "Katowice, śląskie"; "Umowa o pracę na okres próbny"; "MUZEUM HISTORII KATOWIC"; "2025-07-14"; 
"asystent działu inwestycji"; "Krotoszyn, wielkopolskie"; "Umowa o pracę na okres próbny"; """DINO POLSKA"" SPÓŁKA AKCYJNA"; "2025-07-11"; 
"Asystent działu zaopatrzenia"; "Zagnańsk, świętokrzyskie"; "Umowa o pracę na okres próbny"; """KH - KIPPER"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-05-30"; 
